,Year,Laureate_Id,Firstname,Lastname,Category,Prize_Share,Motivation,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country,Birth_Year,Death_Year
38,1907,166,Eduard,Buchner,chemistry,1,"""for his biochemical researches and his discovery of cell-free fermentation""",male,1860-05-20,Bavaria (now Germany),Munich,DE,13/08/1917,Romania,Focsani,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany,1860.0,1917.0
39,1907,577,Rudyard,Kipling,literature,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",male,1865-12-30,British India (now India),Bombay (now Mumbai),IN,18/01/1936,United Kingdom,London,GB,,,,1865.0,1936.0
40,1907,472,Louis,Renault,peace,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",male,1843-05-21,France,Autun,FR,08/02/1918,France,Barbizon,FR,Sorbonne University,Paris,France,1843.0,1918.0
41,1907,471,Ernesto Teodoro,Moneta,peace,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",male,1833-09-20,Austrian Empire (now Italy),Milan,IT,10/02/1918,Italy,Milan,IT,,,,1833.0,1918.0
42,1907,11,Albert A.,Michelson,physics,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",male,1852-12-19,Prussia (now Poland),Strelno (now Strzelno),PL,09/05/1931,USA,Pasadena CA,US,University of Chicago,Chicago IL,USA,1852.0,1931.0
43,1908,167,Ernest,Rutherford,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",male,1871-08-30,New Zealand,Nelson,NZ,19/10/1937,United Kingdom,Cambridge,GB,Victoria University,Manchester,United Kingdom,1871.0,1937.0
44,1908,578,Rudolf,Eucken,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",male,1846-01-05,East Friesland (now Germany),Aurich,DE,14/09/1926,Germany,Jena,DE,,,,1846.0,1926.0
45,1908,474,Fredrik,Bajer,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",male,1837-04-21,Denmark,Næstved,DK,22/01/1922,Denmark,Copenhagen,DK,,,,1837.0,1922.0
46,1908,301,Ilya,Mechnikov,medicine,2,"""in recognition of their work on immunity""",male,1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),UA,15/07/1916,France,Paris,FR,Institut Pasteur,Paris,France,1845.0,1916.0
47,1908,302,Paul,Ehrlich,medicine,2,"""in recognition of their work on immunity""",male,1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),PL,20/08/1915,Germany,Bad Homburg vor der Höhe,DE,Goettingen University,Göttingen,Germany,1854.0,1915.0
48,1908,473,Klas Pontus,Arnoldson,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",male,1844-10-27,Sweden,Gothenburg,SE,20/02/1916,Sweden,Stockholm,SE,,,,1844.0,1916.0
49,1908,12,Gabriel,Lippmann,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",male,1845-08-16,Luxembourg,Hollerich,LU,13/07/1921,,,,Sorbonne University,Paris,France,1845.0,1921.0
50,1909,13,Guglielmo,Marconi,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",male,1874-04-25,Italy,Bologna,IT,20/07/1937,Italy,Rome,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1874.0,1937.0
51,1909,303,Theodor,Kocher,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",male,1841-08-25,Switzerland,Bern,CH,27/07/1917,Switzerland,Bern,CH,Berne University,Bern,Switzerland,1841.0,1917.0
52,1909,579,Selma,Lagerlöf,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",female,1858-11-20,Sweden,Mårbacka,SE,16/03/1940,Sweden,Mårbacka,SE,,,,1858.0,1940.0
53,1909,168,Wilhelm,Ostwald,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",male,1853-09-02,Russian Empire (now Latvia),Riga,LV,04/04/1932,Germany,Leipzig,DE,Leipzig University,Leipzig,Germany,1853.0,1932.0
54,1909,14,Ferdinand,Braun,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",male,1850-06-06,Hesse-Kassel (now Germany),Fulda,DE,20/04/1918,USA,Brooklyn NY,US,Strasbourg University,Strasbourg,Germany (now France),1850.0,1918.0
55,1909,475,Auguste,Beernaert,peace,2,"""for their prominent position in the international movement for peace and arbitration""",male,1829-07-26,Belgium,Ostend,BE,06/10/1912,Switzerland,Lucerne,CH,,,,1829.0,1912.0
56,1909,476,Paul Henri,d'Estournelles de Constant,peace,2,"""for their prominent position in the international movement for peace and arbitration""",male,1852-11-22,France,La Flèche,FR,15/05/1924,France,Paris,FR,,,,1852.0,1924.0
57,1910,580,Paul,Heyse,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",male,1830-03-15,Prussia (now Germany),Berlin,DE,02/04/1914,Germany,Munich,DE,,,,1830.0,1914.0
58,1910,477,Permanent International Peace Bureau,unknown,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",org,1891-00-00,,,,0000-00-00,,,,,,,1891.0,
59,1910,15,Johannes Diderik,van der Waals,physics,1,"""for his work on the equation of state for gases and liquids""",male,1837-11-23,the Netherlands,Leiden,NL,08/03/1923,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands,1837.0,1923.0
60,1910,304,Albrecht,Kossel,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",male,1853-09-16,Mecklenburg (now Germany),Rostock,DE,05/07/1927,Germany,Heidelberg,DE,University of Heidelberg,Heidelberg,Germany,1853.0,1927.0
61,1910,169,Otto,Wallach,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",male,1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,26/02/1931,Germany,Göttingen,DE,Goettingen University,Göttingen,Germany,1847.0,1931.0
62,1911,479,Alfred,Fried,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",male,1864-11-11,Austria,Vienna,AT,04/05/1921,Austria,Vienna,AT,,,,1864.0,1921.0
63,1911,478,Tobias,Asser,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",male,1838-04-28,the Netherlands,Amsterdam,NL,29/07/1913,the Netherlands,the Hague,NL,,,,1838.0,1913.0
64,1911,6,Marie,Curie,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,,1867.0,1934.0
65,1911,16,Wilhelm,Wien,physics,1,"""for his discoveries regarding the laws governing the radiation of heat""",male,1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),RU,30/08/1928,Germany,Munich,DE,Würzburg University,Würzburg,Germany,1864.0,1928.0
66,1911,581,Maurice,Maeterlinck,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",male,1862-08-29,Belgium,Ghent,BE,06/05/1949,France,Nice,FR,,,,1862.0,1949.0
67,1911,305,Allvar,Gullstrand,medicine,1,"""for his work on the dioptrics of the eye""",male,1862-06-05,Sweden,Landskrona,SE,28/07/1930,Sweden,Stockholm,SE,Uppsala University,Uppsala,Sweden,1862.0,1930.0
68,1912,582,Gerhart,Hauptmann,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",male,1862-11-15,Prussia (now Poland),Bad Salzbrunn,PL,06/06/1946,Germany (now Poland),Agnetendorf (now Jagniatków),PL,,,,1862.0,1946.0
69,1912,306,Alexis,Carrel,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",male,1873-06-28,France,Sainte-Foy-lès-Lyon,FR,05/11/1944,France,Paris,FR,Rockefeller Institute for Medical Research,New York NY,USA,1873.0,1944.0
70,1912,173,Paul,Sabatier,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",male,1854-11-05,France,Carcassonne,FR,14/08/1941,France,Toulouse,FR,Toulouse University,Toulouse,France,1854.0,1941.0
71,1912,172,Victor,Grignard,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",male,1871-05-06,France,Cherbourg,FR,13/12/1935,France,Lyon,FR,Nancy University,Nancy,France,1871.0,1935.0
72,1912,17,Gustaf,Dalén,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",male,1869-11-30,Sweden,Stenstorp,SE,09/12/1937,Sweden,Stockholm,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,1869.0,1937.0
73,1912,480,Elihu,Root,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",male,1845-02-15,USA,Clinton NY,US,07/02/1937,USA,New York NY,US,,,,1845.0,1937.0
74,1913,307,Charles,Richet,medicine,1,"""in recognition of his work on anaphylaxis""",male,1850-08-26,France,Paris,FR,04/12/1935,France,Paris,FR,Sorbonne University,Paris,France,1850.0,1935.0
75,1913,174,Alfred,Werner,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",male,1866-12-12,France,Mulhouse,FR,15/11/1919,Switzerland,Zurich,CH,University of Zurich,Zurich,Switzerland,1866.0,1919.0
76,1913,481,Henri,La Fontaine,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",male,1854-04-22,Belgium,Brussels,BE,14/05/1943,Belgium,Brussels,BE,,,,1854.0,1943.0
77,1913,583,Rabindranath,Tagore,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",male,1861-05-07,India,Calcutta,IN,07/08/1941,India,Calcutta,IN,,,,1861.0,1941.0
78,1913,18,Heike,Kamerlingh Onnes,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",male,1853-09-21,the Netherlands,Groningen,NL,21/02/1926,the Netherlands,Leiden,NL,Leiden University,Leiden,the Netherlands,1853.0,1926.0
79,1914,19,Max,von Laue,physics,1,"""for his discovery of the diffraction of X-rays by crystals""",male,1879-10-09,Germany,Pfaffendorf,DE,23/04/1960,West Germany (now Germany),Berlin,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1879.0,1960.0
80,1914,308,Robert,Bárány,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus""",male,1876-04-22,Austria,Vienna,AT,08/04/1936,Sweden,Uppsala,SE,Vienna University,Vienna,Austria,1876.0,1936.0
81,1914,175,Theodore W.,Richards,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",male,1868-01-31,USA,Germantown PA,US,02/04/1928,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA,1868.0,1928.0
82,1915,20,William,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",male,1862-07-02,United Kingdom,Wigton,GB,12/03/1942,United Kingdom,London,GB,University College,London,United Kingdom,1862.0,1942.0
83,1915,21,Lawrence,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",male,1890-03-31,Australia,Adelaide,AU,01/07/1971,United Kingdom,Ipswich,GB,Victoria University,Manchester,United Kingdom,1890.0,1971.0
84,1915,176,Richard,Willstätter,chemistry,1,"""for his researches on plant pigments especially chlorophyll""",male,1872-08-13,Germany,Karlsruhe,DE,03/08/1942,Switzerland,Locarno,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,1872.0,1942.0
85,1915,584,Romain,Rolland,literature,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",male,1866-01-29,France,Clamecy,FR,30/12/1944,France,Vézelay,FR,,,,1866.0,1944.0
86,1916,585,Verner,von Heidenstam,literature,1,"""in recognition of his significance as the leading representative of a new era in our literature""",male,1859-07-06,Sweden,Olshammar,SE,20/05/1940,Sweden,Övralid,SE,,,,1859.0,1940.0
87,1917,482,International Committee of the Red Cross,unknown,peace,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",org,1863-00-00,,,,0000-00-00,,,,,,,1863.0,
88,1917,22,Charles Glover,Barkla,physics,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",male,1877-06-07,United Kingdom,Widnes,GB,23/10/1944,Scotland,Edinburgh,GB,Edinburgh University,Edinburgh,United Kingdom,1877.0,1944.0
89,1917,586,Karl,Gjellerup,literature,2,"""for his varied and rich poetry which is inspired by lofty ideals""",male,1857-06-02,Denmark,Roholte,DK,11/10/1919,Germany,Klotzsche,DE,,,,1857.0,1919.0
90,1917,587,Henrik,Pontoppidan,literature,2,"""for his authentic descriptions of present-day life in Denmark""",male,1857-07-24,Denmark,Fredericia,DK,21/08/1943,Denmark,Ordrup,DK,,,,1857.0,1943.0
91,1918,23,Max,Planck,physics,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",male,1858-04-23,Schleswig (now Germany),Kiel,DE,04/10/1947,West Germany (now Germany),Göttingen,DE,Berlin University,Berlin,Germany,1858.0,1947.0
92,1918,177,Fritz,Haber,chemistry,1,"""for the synthesis of ammonia from its elements""",male,1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),PL,29/01/1934,Switzerland,Basel,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany,1868.0,1934.0
93,1919,483,Woodrow,Wilson,peace,1,"""for his role as founder of the League of Nations""",male,1856-12-28,USA,Staunton VA,US,03/02/1924,USA,Washington D.C.,US,,,,1856.0,1924.0
94,1919,309,Jules,Bordet,medicine,1,"""for his discoveries relating to immunity""",male,1870-06-13,Belgium,Soignies,BE,06/04/1961,Belgium,Brussels,BE,Brussels University,Brussels,Belgium,1870.0,1961.0
95,1919,24,Johannes,Stark,physics,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",male,1874-04-15,Germany,Schickenhof,DE,21/06/1957,West Germany (now Germany),Traunstein,DE,Greifswald University,Greifswald,Germany,1874.0,1957.0
96,1919,588,Carl,Spitteler,literature,1,"""in special appreciation of his epic <I>Olympian Spring</I>""",male,1845-04-24,Switzerland,Liestal,CH,29/12/1924,Switzerland,Lucerne,CH,,,,1845.0,1924.0
97,1920,25,Charles Edouard,Guillaume,physics,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",male,1861-02-15,Switzerland,Fleurier,CH,13/06/1938,France,Sèvres,FR,Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1861.0,1938.0
98,1920,178,Walther,Nernst,chemistry,1,"""in recognition of his work in thermochemistry""",male,1864-06-25,Prussia (now Poland),Briesen (now Wąbrzeźno),PL,18/11/1941,Germany,Muskau,DE,Berlin University,Berlin,Germany,1864.0,1941.0
99,1920,310,August,Krogh,medicine,1,"""for his discovery of the capillary motor regulating mechanism""",male,1874-11-15,Denmark,Grenå,DK,13/09/1949,Denmark,Copenhagen,DK,Copenhagen University,Copenhagen,Denmark,1874.0,1949.0
100,1920,484,Léon,Bourgeois,peace,1,"""for his longstanding contribution to the cause of peace and justice and his prominent role in the establishment of the League of Nations""",male,1851-05-21,France,Paris,FR,29/09/1925,France,Épernay,FR,,,,1851.0,1925.0
101,1920,589,Knut,Hamsun,literature,1,"""for his monumental work <I>Growth of the Soil</I>""",male,1859-08-04,Norway,Lom,NO,19/02/1952,Norway,Grimstad,NO,,,,1859.0,1952.0
102,1921,590,Anatole,France,literature,1,"""in recognition of his brilliant literary achievements characterized as they are by a nobility of style a profound human sympathy grace and a true Gallic temperament""",male,1844-04-16,France,Paris,FR,12/10/1924,France,Saint-Cyr-sur-Loire,FR,,,,1844.0,1924.0
103,1921,485,Hjalmar,Branting,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",male,1860-11-23,Sweden,Stockholm,SE,24/02/1925,Sweden,Stockholm,SE,,,,1860.0,1925.0
104,1921,26,Albert,Einstein,physics,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",male,1879-03-14,Germany,Ulm,DE,18/04/1955,USA,Princeton NJ,US,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1879.0,1955.0
105,1921,179,Frederick,Soddy,chemistry,1,"""for his contributions to our knowledge of the chemistry of radioactive substances and his investigations into the origin and nature of isotopes""",male,1877-09-02,United Kingdom,Eastbourne,GB,22/09/1956,United Kingdom,Brighton,GB,University of Oxford,Oxford,United Kingdom,1877.0,1956.0
106,1921,486,Christian,Lange,peace,2,"""for their lifelong contributions to the cause of peace and organized internationalism""",male,1869-09-17,Norway,Stavanger,NO,11/12/1938,Norway,Oslo,NO,,,,1869.0,1938.0
